id,rumour,text,reply_to
552857418062127104,charliehebdo,"@Slate Duh, Ya think?",Witnesses say the Charlie Hebdo gunmen identified themselves as members of al-Qaida: http://t.co/WSEe7PGIdY http://t.co/fTzk4xzZIr
544280027714420736,sydneysiege,"@AFP this is not an ""Islamic"" flag, not even the ISIS flag. The Islamic community in no way condones these action.","#BREAKING Hostages held inside Sydney cafe, Islamic flag held up"
581199670430449664,germanwings-crash,@marcepa49 It changes the flight profile and cuts out the warnings and some of the protection.,@Minus777 what's the use of changing FMC if autopilot not engaged?
524948444302286849,ottawashooting,@cnnbrk 2nd suspect parrantly shot behind parliament. Lockdown almost everywhere... third suspect on the loose.  That s heavy.,"Ottawa Police Service: There were ""numerous gunmen"" at the Canada War Memorial shooting. One person was shot. http://t.co/zNhxK6wBoy"
553592819622092800,charliehebdo,@jaseblazefan @SkyNewsBreak stick em full of pencils.,@SkyNewsBreak @gazsc go on shoot em again just to make sure
553594057034051584,charliehebdo,@SkyNews 👍🍸,"Hostage-taker in supermarket siege killed, reports say. #ParisAttacks http://t.co/0jxoozr8mN http://t.co/sY4M9Vox3L"
580883004945395712,germanwings-crash,@BuzzFeedNews Suicide mission?  That's crazy stuff.,Report: Co-Pilot Locked Out Of Cockpit Before Fatal Plane Crash http://t.co/aXGQuacv2E #Germanwings http://t.co/T80L7BhXX6
544517684797267969,sydneysiege,@9NewsSyd YES,#BREAKING: Police have confirmed that the #SydneySiege is over. #9News
500345409500639232,ferguson,AND that attitude will be their downfall too. Bet on it. @walteredwards2 @jaggy123 @DanteB4u,"@jaggy123 @MsRock4Ever @DanteB4u Affluent people and those in authority take it as an affront to be questioned, especially by lesser people"
544272759657078785,sydneysiege,RT @newscomauHQ: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/qbh5koYBwf http://t.co/lnFXOZr8vL,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3
544366214105952256,sydneysiege,"@CameronAtfield I still have some misgiving re @Uber_Sydney &amp; earlier comm was confusing, but IMO they're trying. @DrYobbo @COMINT_AU","@Uber_Sydney @DrYobbo @COMINT_AU @alfinitum Well that's not true. First, you tweeted an explanation about why you were gouging customers."
500394093420494849,ferguson,@lilfer1234 @andybankertv @FOX2now or is that impossible because the police would never be capable of unscrupulous behavior?,@andybankertv @FOX2now Any chance that's being said for fear of retribution?
500299435793219584,ferguson,@140elect exactly. if the criminal commits strong-arm robbery but has no weapon when he grasps for the officers he should be let go.,"Shoot unarmed kid.
Conceal evidence.
Impose martial law.
Harass reporters.
Smear the victim.
Worst. Police. Ever.
#Ferguson #MikeBrown"
544520376722927616,sydneysiege,@AusNewsNetwork @1000FormsOfGlen omg no,#BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.
521352678283444224,ebola-essien,😯“@FootballcomEN: Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/PPifXdQmGo”,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
552816957439741952,charliehebdo,@hassanbasmer @Chusid2015 @cnnbrk freedom of speech protects everyone. Islam just doesn't believe in freedom or democracy. Just death,@Chusid2015 @DaliaChai @cnnbrk you fool . We r not talking of Gaza. Anti semitsm and no laws anti protection of islam
499918462295490560,ferguson,@AnonymousPress And this isn't tyranny because ...?? Beuller??,Line of police cars with high beams on greets anyone trying to enter #Ferguson. It's shut down. No media allowed. http://t.co/bk6jFFM7jj
544313623448137729,sydneysiege,"@CBCAlerts pray 🙏, usually it's help allot before everyone will go straight to haven.Flag is comon bulshit about Muhammad etc.",#pmharper tweets 'Canada's thoughts and prayers are with our Australian friends.' 13-40 hostages held in cafe in #Sydney. #SydneySiege
525046502474137600,ottawashooting,"@cristinaresteve @tsklierenko , everyone is entitled to a opinion , no fight here , you don't know me , I don't know you","@tsklierenko @ChristoferU things aren't as black and white as you may think. Picking a fight on Twitter isn't cool, bro."
552792055122886656,charliehebdo,@cnni 11 killed,"BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"
